X,Y,id,note,icon_url,Db_Export_IDScheda,Db_Export_DescStrada,Db_Export_TipiImpiantiprg_Descrizione,Db_Export_noteprg,Db_Export_NumeroTransenne,Db_Export_GruppiImpianti_Descrizione,Db_Export_NumeroFoto
12.3818836455299,44.2245059085167,"1",,./0.png,"1",VIALE ITALIA   fronte IRPINIA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1175
12.3812714994861,44.2253284228258,"3",,./0.png,"3",VIALE ITALIA Fronte n.c. 364  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1177
12.3806930234507,44.2261589851956,"4",,./0.png,"4",VIALE ITALIA   fronte LOMELLINA VIA,Segnaletica monopalo 100x20,INSTALLARE A SX DELL'INGRESSO,"0",Segnaletica direzionale privata,IMG_1178
12.3803017327542,44.2266635303424,"5",,./0.png,"5",VIALE ITALIA   fronte CASERTA VIA,Segnaletica monopalo 100x20,INSTALLARE A SX DELL'INGRESSO,"0",Segnaletica direzionale privata,IMG_1179
12.3797148823366,44.227470729148,"6",,./0.png,"6",VIALE ITALIA   fronte PUGLIE VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1180
12.3792007566006,44.2281942115225,"7",,./0.png,"7",VIALE ITALIA Fronte n.c. 334  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1181
12.3757626871502,44.2328197122026,"9",,./0.png,"9",VIALE ITALIA Fronte n.c. 308  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1183
12.3752723123464,44.2334989406009,"10",,./0.png,"10",VIALE ITALIA Fronte n.c. 302  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1184
12.3748735829391,44.2340459172869,"11",,./0.png,"11",VIALE ITALIA    quasi fronte LAZIO VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1185
12.3749212185636,44.233966498955,"576",,./0.png,"576",VIALE ITALIA   fronte LAZIO  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1889
12.3743870868941,44.2347064137423,"13",,./0.png,"13",VIALE ITALIA Fronte n.c. 286  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1189
12.3739995212526,44.2352542129273,"14",,./0.png,"14",VIALE ITALIA Fronte n.c. 280  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1190
12.3735581998944,44.2358794269665,"17",,./0.png,"17",VIALE ITALIA   fronte MEZZANOTTE VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1193
12.373470808981,44.2358437597652,"18",,./1.png,"18",VIA MEZZANOTTE   angolo ITALIA  VIALE,Transenna L160,2 ELEMENTI,"2",Transenne parapedonali,IMG_1194
12.3731282883036,44.2364931123416,"19",,./0.png,"19",VIALE ITALIA Fronte n.c. 270  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1196
12.3726369960752,44.2372048732309,"21",,./0.png,"21",VIALE ITALIA   fronte VALSESIA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1198
12.3723515194288,44.2376406325991,"23",,./0.png,"23",VIALE ITALIA   fronte VALPADANA VIA,Segnaletica monopalo 100x20,INSTALLARE A SX DELL'INGRESSO,"0",Segnaletica direzionale privata,IMG_1200
12.3719445303553,44.2382023739623,"24",,./0.png,"24",VIALE ITALIA Fronte n.c. 242  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1201
12.3717356589328,44.2385419239792,"25",,./0.png,"25",VIALE ITALIA    quasi fronte VAL D'ARNO VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1202
12.3714161086471,44.2390521743262,"27",,./0.png,"27",VIALE ITALIA   fronte PIEMONTE VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1204
12.3714408551246,44.2390084890981,"26",,./0.png,"26",VIALE ITALIA   fronte C,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1203
12.3709262202566,44.239739791811,"31",,./0.png,"31",VIALE ITALIA Fronte n.c. 22  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1208
12.3707139000212,44.2400539330744,"32",,./0.png,"32",VIALE ITALIA   fronte VENEZIA GIULIA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1209
12.3703452826324,44.2405900449591,"34",,./0.png,"34",VIALE ITALIA   fronte SAN MARINO VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1211
12.3703131876935,44.2406184698581,"35",,./0.png,"35",VIALE ITALIA   fronte SAN MARINO VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1212
12.3702052253325,44.2406873440898,"577",,./1.png,"577",VIALE ITALIA   angolo SAN MARINO  VIA,Transenna L160,3+3 ELEMENTI,"6",Transenne parapedonali,IMG_1892
12.3702360608458,44.2406471309006,"578",,./1.png,"578",VIA SAN MARINO   angolo ITALIA  VIALE,Transenna L160,3+3 ELEMENTI,"6",Transenne parapedonali,IMG_1893
12.370266351549,44.2406843476542,"579",,./1.png,"579",VIALE ITALIA   fronte SAN MARINO  VIA,Transenna L160,8 ELEMENTI,"8",Transenne parapedonali,IMG_1894
12.3700470961739,44.2410433423075,"580",,./0.png,"580",VIALE ITALIA   fronte TRENTINO,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1895
12.3693336212386,44.242096994133,"38",,./0.png,"38",VIALE ITALIA Lato n.c. 177  ,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1215
12.3685554605939,44.2431536866455,"40",,./2.png,"40",VIALE ITALIA Lato n.c. 168  ,Orologio 100x70,INSTALLARE LATO CORDOLO ESTERNO STRADA,"0",Orologio,IMG_1217
12.36851445124,44.2433198786619,"42",,./0.png,"42",VIALE ITALIA   fronte TOSCANA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1219
12.3679320026131,44.2442622384498,"43",,./0.png,"43",VIALE EMILIA   angolo ITALIA  VIALE,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1220
12.3678653452888,44.2442409817599,"581",,./1.png,"581",VIALE ITALIA   angolo EMILIA  VIALE,Transenne L160 + transenne L90,3 L160 + 2 L 90 alternate,"5",Transenne parapedonali,IMG_1896
12.3678930798922,44.2442044336881,"582",,./1.png,"582",VIALE EMILIA   angolo ITALIA  VIALE,Transenne L160 + transenne L90,3 L160 + 2 L 90 alternate,"5",Transenne parapedonali,IMG_1897
12.3673794671127,44.24520512991,"44",,./0.png,"44",VIALE ITALIA   fronte CAMPANIA VIA,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1221
12.3670301344385,44.2456574811028,"583",,./0.png,"583",VIALE EMILIA   angolo LUCANIA  VIA,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1898
12.3652763441368,44.248721662493,"584",,./1.png,"584",VIAL DE AMICIS   angolo ITALIA  VIALE,Transenna L160,8 ELEMENTI,"8",Transenne parapedonali,IMG_1899
12.3651007601651,44.2486934933915,"585",,./1.png,"585",VIAL DE AMICIS   angolo ITALIA  VIALE,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1900
12.3652149787565,44.2485174325289,"586",,./1.png,"586",VIAL DE AMICIS   angolo ITALIA  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1901
12.3653507701803,44.2485741676691,"587",,./1.png,"587",VIAL DE AMICIS   Angolo ITALIA  VIALE,Transenna L160,11 ELEMENTI,"11",Transenne parapedonali,IMG_1902
12.3656822310494,44.2488094024793,"202",,./2.png,"202",VIAL DE AMICIS   quasi angolo DELEDDA LUNGOMARE,Orologio 100x70,,"0",Orologio,IMG_1379
12.3633185582721,44.2479128460028,"588",,./1.png,"588",VIAL DE AMICIS   angolo TITANO  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1904
12.3634839170938,44.2479651389049,"589",,./1.png,"589",VIAL DE AMICIS   angolo TITANO  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1905
12.3633708473309,44.2481614108729,"590",,./1.png,"590",VIAL DE AMICIS   angolo TITANO  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1906
12.3632113999813,44.2481256173114,"591",,./1.png,"591",VIAL DE AMICIS   angolo TITANO  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1907
12.3596528305162,44.2470124980274,"592",,./1.png,"592",VIAL DE AMICIS   angolo PINARELLA  VIA,Transenna L160,3 ELEMENTI,"3",Transenne parapedonali,IMG_1908
12.3597460339192,44.2468453982333,"593",,./1.png,"593",VIAL DE AMICIS   angolo PINARELLA  VIA,Transenna L160,3 ELEMENTI,"3",Transenne parapedonali,IMG_1909
12.3651383271855,44.2450296649119,"594",,./0.png,"594",VIA LUCANIA   angolo TITANO  VIALE,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1910
12.3654465457776,44.2445451827581,"595",,./0.png,"595",VIA CAMPANIA   angolo TITANO  VIALE,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1911
12.3661317111314,44.243711118415,"596",,./1.png,"596",VIALE TITANO   angolo EMILIA  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1912
12.3659146815246,44.2436532076524,"597",,./1.png,"597",VIALE TITANO   angolo EMILIA  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1913
12.3659856565951,44.2435034321743,"598",,./1.png,"598",VIALE TITANO   angolo EMILIA  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1914
12.3662263845016,44.243570171532,"599",,./1.png,"599",VIALE TITANO   angolo EMILIA  VIALE,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1915
12.3667008310804,44.2426674224634,"600",,./0.png,"600",VIALE TITANO   Angolo TOSCANA  VIA,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1917
12.3668656894287,44.2424064969253,"57",,./0.png,"57",VIALE TITANO   fronte TRITONE VIALE,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1234
12.3668090000968,44.2423644612382,"602",,./1.png,"602",VIALE TRITONE   angolo TITANO  VIALE,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1920
12.3668557915448,44.2424166280738,"603",,./0.png,"603",VIALE TITANO   angolo TRITONE  VIALE,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1921
12.3673309361396,44.24178701117,"59",,./0.png,"59",VIALE TITANO   angolo MARCHE VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1236
12.3639774035356,44.2415209285421,"89",,./3.png,"89",VIALE TRITONE Lato n.c. 68  quasi fronte MONTALE VIA,Turistico a libro,,"0",Impianto di servizio,IMG_1266
12.3631147146074,44.2411398498636,"90",,./0.png,"90",VIA PINARELLA   angolo TRITONE  VIALE,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1267
12.3630977685383,44.241133203434,"604",,./1.png,"604",VIA PINARELLA   angolo TRITONE  VIALE,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1923
12.3630554093172,44.2411844731826,"605",,./1.png,"605",VIALE TRITONE   angolo PINARELLA  VIA,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1924
12.3616298211857,44.2405882618485,"93",,./1.png,"93",VIA EUROPA UNITA   angolo DELLE PLEIADI ROTONDA,Transenna L160,3 + 8 ELEMENTI,"11",Transenne parapedonali,IMG_1271
12.3615275670745,44.2407707156967,"606",,./1.png,"606",VIALE TRITONE   angolo PLATONE VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1926
12.3612391814222,44.2406910784464,"607",,./1.png,"607",VIA TRASIMENO   angolo PLATONE VIA,Transenna L160,7 ELEMENTI,"7",Transenne parapedonali,IMG_1927
12.3613516942719,44.2404948248438,"608",,./1.png,"608",VIALE TRITONE   angolo EUROPA UNITA  VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1928
12.3658890419074,44.2368351905551,"70",,./0.png,"70",VIA PIEMONTE   angolo PINARELLA VIA,Impianto a due pali,INSTALLARE A SX ESISTENTE,"0",Segnaletica direzionale privata,IMG_1247
12.3667062841016,44.2355063608904,"609",,./1.png,"609",VIA PINARELLA   angolo VAL PASSIRIA  VIA,Transenna L160,3 ELEMENTI,"3",Transenne parapedonali,IMG_1931
12.3667298318701,44.2354739065488,"610",,./1.png,"610",VIA PINARELLA   angolo VAL PASSIRIA  VIA,Transenna L160,3 ELEMENTI,"3",Transenne parapedonali,IMG_1932
12.3678850757003,44.233927422864,"611",,./0.png,"611",VIA PINARELLA   quasi angolo MEZZANOTTE  VIA,Impianto a due pali,UTILIZZARE RETRI,"0",Segnaletica direzionale privata,IMG_1934
12.3684838770666,44.2330316053358,"612",,./0.png,"612",VIA PIEMONTE Lato n.c. 273 quasi angolo MEZZANOTTE  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1935
12.3640359165962,44.237525782196,"613",,./1.png,"613",VIA EUROPA UNITA   angolo CALABRIA  VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1936
12.3637986753277,44.2373938282538,"614",,./1.png,"614",VIA EUROPA UNITA   angolo CALABRIA  VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1937
12.3639244598221,44.2372368802482,"615",,./1.png,"615",VIA EUROPA UNITA   angolo CALABRIA  VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1938
12.3642141705923,44.2373593470711,"616",,./1.png,"616",VIA EUROPA UNITA   angolo CALABRIA  VIA,Transenna L160,5 ELEMENTI,"5",Transenne parapedonali,IMG_1939
12.3654450472361,44.2348728003571,"617",,./1.png,"617",VIA EUROPA UNITA   angolo VAL PASSIRIA  VIA,Transenna L160,8 ELEMENTI,"8",Transenne parapedonali,IMG_1940
12.3653179710909,44.2350456679443,"618",,./1.png,"618",VIA EUROPA UNITA   angolo VAL PASSIRIA  VIA,Transenna L160,8 ELEMENTI,"8",Transenne parapedonali,IMG_1941
12.3667830776596,44.2355131812587,"619",,./1.png,"619",VIA PINARELLA   fronte VAL PASSIRIA  VIA,Transenna L160,6 + 3 ELEMENTI,"9",Transenne parapedonali,IMG_1942
12.3667892402201,44.2355050595374,"620",,./0.png,"620",VIA PINARELLA   fronte VAL PASSIRIA  VIA,Impianto a due pali,A SX DEL PALO LUCE DIETRO CORDOLO,"0",Segnaletica direzionale privata,IMG_1942
12.3692516012082,44.2319027003638,"621",,./1.png,"621",VIA PINARELLA   angolo LAZIO  VIA,Transenna L160,2 + 3 ELEMENTI,"5",Transenne parapedonali,IMG_1943
12.3692239180698,44.2319400412773,"622",,./1.png,"622",VIA PINARELLA   angolo LAZIO  VIA,Transenna L160,2 + 3 ELEMENTI,"5",Transenne parapedonali,IMG_1944
12.3691737675503,44.2318740330041,"623",,./0.png,"623",VIA PINARELLA   angolo LAZIO  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1945
12.3764049192518,44.2231765131212,"624",,./0.png,"624",VIA DEL SAGITTARIO   angolo PINARELLA  VIA,Impianto a due pali,AL POSTO DEL NOME VIA,"0",Segnaletica direzionale privata,IMG_1946
12.3776058177436,44.2217373964317,"625",,./1.png,"625",VIA PINARELLA   angolo SICILIA  VIALE,Transenna L160,6 ELEMENTI,"6",Transenne parapedonali,IMG_1947
12.3775818581149,44.22176728478,"626",,./1.png,"626",VIA PINARELLA   angolo SICILIA  VIALE,Transenna L160,4 ELEMENTI,"4",Transenne parapedonali,IMG_1948
12.3776033523933,44.2217329039662,"627",,./0.png,"627",VIA PINARELLA   Angolo SICILIA  VIALE,Impianto a due pali,AL POSTO DEL NOME VIA,"0",Segnaletica direzionale privata,IMG_1949
12.3790189177654,44.2224240444752,"130",,./0.png,"130",VIALE SICILIA Lato n.c. 30 fronte DEI PESCI PIAZZALE,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1306
12.3821897127506,44.2240574274128,"81",,./0.png,"81",VIALE ITALIA   angolo SICILIA VIALE,Segnaletica monopalo 100x20,,"0",Segnaletica direzionale privata,IMG_1258
12.3790390256667,44.2243079835356,"84",,./0.png,"84",VIALE DEI GEMELLI   angolo DEL SAGITTARIO VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1261
12.3712654544731,44.2228042433211,"568",,./0.png,"568",VIA SBROZZI   angolo ADRIATICA STATALE,Portale circuito bagni,RIMOZIONE IMPIANTO,"0",Segnaletica direzionale privata,IMG_1760
12.3706541871894,44.223207783726,"628",,./0.png,"628",VIA SBROZZI   angolo SS 16 ADRIATICA,Impianto a due pali,RIMOZIONE IMPIANTO,"0",Segnaletica direzionale privata,IMG_1951
12.3733984608941,44.2218261301001,"103",,./0.png,"103",VIA DEI COSMONAUTI   fronte DINO SBROZZI VIA,Impianto a due pali,A SX IMP. ESISTENTE - RIMOZIONE FRECCI SU SUPP. NON IDONEO,"0",Segnaletica direzionale privata,IMG_1280
12.3734448297523,44.221787441723,"104",,./0.png,"104",VIA DEI COSMONAUTI   fronte DINO SBROZZI VIA,Portale circuito bagni,,"0",Segnaletica direzionale privata,IMG_1281
12.3734791192201,44.2217499044389,"105",,./0.png,"105",VIA DEI COSMONAUTI   fronte DINO SBROZZI VIA,Portale circuito bagni,,"0",Segnaletica direzionale privata,IMG_1281
12.3598314685093,44.2358488930664,"629",,./0.png,"629",VIA DEI COSMONAUTI   fronte CALABRIA  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1954
12.3566790191917,44.2395837000943,"150",,./0.png,"150",VIA CADUTI PER LA LIBERTA'    quasi fronte TRITONE  VIALE,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1325
12.3576159778383,44.2394354471029,"630",,./0.png,"630",VIALE TRITONE   angolo DELLE IADI  ROTONDA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1956
12.3576225908786,44.238853258784,"631",,./0.png,"631",VIA DEI COSMONAUTI   angolo DELLE IADI  ROTONDA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1957
12.3698616157344,44.2384098850113,"65",,./0.png,"65",VIA ABRUZZI   angolo PIEMONTE VIA,Impianto a due pali,A DX IMP. TOPONOMASTICA,"0",Segnaletica direzionale privata,IMG_1242
12.3699029913433,44.2384285127651,"68",,./0.png,"68",VIA ABRUZZI   angolo PIEMONTE VIA,Impianto a due pali,AL POSTO ESISTENTE,"0",Segnaletica direzionale privata,IMG_1245
12.370873203491,44.23689207059,"73",,./0.png,"73",VIA ABRUZZI   quasi angolo VAL DI NON VIA,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1250
12.3733592422178,44.2336299421868,"74",,./0.png,"74",VIA ABRUZZI   quasi angolo LAZIO VIA,Impianto a due pali,RIMUOVERE ESISTENTE - INSTALLARE 8 METRI DOPO ESISTENTE,"0",Segnaletica direzionale privata,IMG_1251
12.3735288350036,44.2334768493365,"75",,./0.png,"75",VIA LAZIO   angolo ABRUZZI VIA,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1252
12.3735553682219,44.233438747395,"633",,./1.png,"633",VIA ABRUZZI   angolo LAZIO  VIA,Transenna L160,4 ELEMENTI,"4",Transenne parapedonali,IMG_1963
12.3791976954626,44.2255216616232,"634",,./0.png,"634",VIA LOMELLINA   angolo ABRUZZI  VIA,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1964
12.3802760531469,44.2238953901374,"635",,./0.png,"635",VIA ABRUZZI   angolo DELL'ARIETE VIA,Impianto monopalo,,"0",Segnaletica direzionale privata,IMG_1965
12.3429018528673,44.2236220416534,"509",,./0.png,"509",VIA DELL' INDUSTRIA Lato n.c. 7  ,Impianto a due pali,,"0",Segnaletica direzionale privata,IMG_1690
